source_row,source_identity,existing_garment_id,match_type,planned_action,conflict_reason
Garments!2,BB610 | Beechfield | 5-panel snapback rapper cap | ,,NO_MATCH,INSERT_NEW,
Garments!44,5111 | AS Colour | Standard Hood | ,f7b06b95-39d2-4583-b3d1-edfffe4ffbba,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!45,5001C | AS Colour | Staple Camo Tee | ,7e158974-4562-428d-afe1-17882ada3128,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!46,5020 | AS Colour | Staple L/S Tee | ,e9b2a6a4-6a35-49ff-a7cd-f07b4fac9070,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!47,5020G | AS Colour | Staple Organic L/S Tee | ,67503260-805c-49cb-9bae-bce3895be342,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!48,5040 | AS Colour | Staple Stone Wash Tee | ,5534cca2-fccf-4ce0-8ee6-ee113a7f3ce7,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!49,5001 | AS Colour | Staple Tee | ,a1ff5c48-30e8-4e18-b3fd-2c4291826ae2,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!50,5102 | AS Colour | Stencil Hood | ,5cf94056-0dba-4cb4-b13b-572c7ed69d13,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!51,5085 | AS Colour | Stone Wash Heavy Tee | ,29b06ae5-8eec-4a25-a91e-03a42ccdbbfa,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!52,GD14 | Gildan | Ultra Cotton Long Sleeve T-Shirt | Colours,229801a9-37e3-4f15-9f89-87c17c81d110,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!53,GD14 | Gildan | Ultra Cotton Long Sleeve T-Shirt | Whites,2bbb6b7e-c791-41d0-a4e3-5e953b18e7e7,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!54,GD02 | Gildan | Ultra Cotton T-Shirt | Whites,eb4d8c63-8816-4a1f-82cd-c2829e0fa226,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!55,GD02 | Gildan | Ultra Cotton T-Shirt | Colours,79e8d638-b41b-40bb-815a-33ea928991b1,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!56,CV3001 | Bella Canvas | Unisex Crew Neck T-Shirt | Colours,7665f526-0d7c-4d70-ad60-a0c0902c88ff,EXACT_IDENTITY,UPDATE_EXISTING,
Garments!57,CV3001 | Bella Canvas | Unisex Crew Neck T-Shirt | Whites,7665f526-0d7c-4d70-ad60-a0c0902c88ff,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!58,W101 | Westford Mill | Westford Mill Bag For Life - Long Handles | Colours,f3813772-ae09-4f8a-a4ee-9adc59595b13,NEAR_MATCH,MANUAL_REVIEW,Source identity differs from existing active record; do not update without review.
Garments!59,4062 | AS Colour | Wo's Crop Tee | ,,NO_MATCH,INSERT_NEW,
Garments!60,4089 | AS Colour | Wo's Heavy Faded Crop Tee | ,,NO_MATCH,INSERT_NEW,
Garments!61,4064G | AS Colour | Wo's Organic Rib Crop Tank | ,,NO_MATCH,INSERT_NEW,
Garments!62,JH050 | AWDis | Zoodie | ,,NO_MATCH,INSERT_NEW,
