source_row,code,alt_code,brand,name,colour,product_type_name,pricing_category,eur_base_price,gbp_price,extra_size_cost,tags,is_active,mapping_status,notes
Garments!18,GD56,18000,Gildan,HEAVY SWEATSHIRT,Colours,Hoodies,HOODIE,5.9,5.67,0.5,GildansweatshirtblackGD5618000,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!19,GD56,18000,Gildan,HEAVY SWEATSHIRT,Whites,Hoodies,HOODIE,5.4,5.51,1.65,GildansweatshirtwhiteGD5618000,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!20,GD21,H000,Gildan,Hammer Heavyweight T-Shirt,Whites,Cotton T-shirt/Tank Top,TSHIRT,2.65,2.51,1,GildanteewhiteGD21H000,true,READY,
Garments!21,GD21,H000,Gildan,Hammer Heavyweight T-Shirt,Colours,Cotton T-shirt/Tank Top,TSHIRT,3.15,2.98,1.2,GildanteeblackHAMMERH000GD21,true,READY,
Garments!22,GD57,18500,Gildan,Heavy Blend Hooded Sweatshirt,Whites,Hoodies,HOODIE,8.25,6.88,2,GildanhoodiewhiteGD5718500,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!23,GD57,18500,Gildan,Heavy Blend Hooded Sweatshirt,Colours,Hoodies,HOODIE,8.25,6.88,2,GD5718500GILDAN HEAVY HOODIEHOODIEHEAVY,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data; existing identity uses a legacy name.
Garments!24,GD05,5000,Gildan,Heavy Cotton T-Shirt,Colours,Cotton T-shirt/Tank Top,TSHIRT,2.4,1.96,0.9,GildanteeblackHEAVYGD055000,true,READY,
Garments!25,GD05,5000,Gildan,Heavy Cotton T-Shirt,"White, Natural",Cotton T-shirt/Tank Top,TSHIRT,1.95,1.57,0.9,GildanteewhiteGD055000HEAVY,true,READY,
Garments!26,5145,,AS Colour,Heavy Crew,,Hoodies,HOODIE,19.8,17.15,,5145sweaterheavy crew,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!27,5083,,AS Colour,Heavy Faded L/S Tee,,Long sleeve tees,LONGSLEEVE,10.2,8.15,,5083Fadedfaded long sleeve,true,READY,
Garments!28,5086,,AS Colour,Heavy Faded Minus Tee [-5cm],,Cotton T-shirt/Tank Top,TSHIRT,7.7,6.45,,5086Heavy Faded Minus Tee [-5cm]fadedminus,true,READY,
Garments!29,5082,,AS Colour,Heavy Faded Tee,,Cotton T-shirt/Tank Top,TSHIRT,7.7,6.45,,5082Heavy Faded Teefaded,true,READY,
Garments!30,5146,,AS Colour,Heavy Hood,,Hoodies,HOODIE,22.25,18.7,,5146heavy hood,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!31,5081,,AS Colour,Heavy L/S Tee,,Long sleeve tees,LONGSLEEVE,10.2,8.15,,5081long sleeve,true,READY,
Garments!32,5080,,AS Colour,Heavy Tee,,Cotton T-shirt/Tank Top,TSHIRT,7.7,6.45,,5080Heavy Tee,true,READY,
Garments!33,BY102,,Build Your Brand,Heavy oversized tee,,Cotton T-shirt/Tank Top,TSHIRT,6.25,6.05,0.5,Oversized tee,true,READY,
Garments!34,BB655,BC655,Beechfield,Low-profile vintage cap,,Baseball cap,OTHER,3.81,6.83,,B655capvintage cap,true,READY,Mapped from cap product name.
Garments!35,W265,WM265,Westford Mill,Organic Premium Cotton Maxi Tote Bag,,Tote bags,OTHER,3.6,2.8,,Westford MilltoteW265WM265,true,READY,Mapped from bag/tote product name.
Garments!36,B652N,,Beechfield,Organic cotton 6-panel dad cap,,Baseball cap,OTHER,4.25,2.98,,Caporganic cap6 paneldad cap,true,READY,Mapped from cap product name.
Garments!37,BB45,BC45,Beechfield,Original cuffed beanie,,Beanies,OTHER,2,1.56,,BeaniebeechfieldBB45BC45,true,READY,Mapped from beanie product name.
Garments!38,W606,WM606,Westford Mills,Oversized heavy duty canvas tote bag,,Tote bags,OTHER,7.1,5.65,,Toteoversized toteheavy tote,true,READY,Mapped from bag/tote product name.
Garments!39,5165,,AS Colour,Relax Faded Crew,,Hoodies,HOODIE,16.05,13.25,,5165relax faded crewfadedfaded sweater,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!40,5166,,AS Colour,Relax Faded Hood,,Hoodies,HOODIE,18.05,14.7,,5166relax faded hood,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!41,5161,,AS Colour,Relax Hood,,Hoodies,HOODIE,16.95,13.95,,5161relax hoodhoodie,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!42,GD01,64000,Gildan,SoftStyle Adult T-Shirt,Colours,Cotton T-shirt/Tank Top,TSHIRT,2.25,1.96,0.7,GD0164000SOFTSOFTSTYLEGILDAN,true,READY,
Garments!43,GD01,64000,Gildan,SoftStyle Adult T-Shirt,Whites,Cotton T-shirt/Tank Top,TSHIRT,1.85,1.59,0.6,GD0164000GILDAN SOFTSOFTSTYLE,true,READY,
Garments!44,5111,,AS Colour,Standard Hood,,Hoodies,HOODIE,12.25,10.15,,5111Standard hoodie,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!45,5001C,,AS Colour,Staple Camo Tee,,Cotton T-shirt/Tank Top,TSHIRT,6.7,5.7,,5001ccamostaple,true,READY,
Garments!46,5020,,AS Colour,Staple L/S Tee,,Long sleeve tees,LONGSLEEVE,6.65,5.45,,5020staplelong sleeve,true,READY,
Garments!47,5020G,,AS Colour,Staple Organic L/S Tee,,Long sleeve tees,LONGSLEEVE,6.9,5.6,,5020GStapleorganicorganic long sleevelong sleeve,true,READY,
Garments!48,5040,,AS Colour,Staple Stone Wash Tee,,Cotton T-shirt/Tank Top,TSHIRT,7.8,6.3,,5040Staple Stone Wash Teewashedstone washed,true,READY,
Garments!49,5001,,AS Colour,Staple Tee,,Cotton T-shirt/Tank Top,TSHIRT,4.7,3.95,,AS Colour5001Staple,true,READY,
Garments!50,5102,,AS Colour,Stencil Hood,,Hoodies,HOODIE,19.55,16.45,,5102stencil hood,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
Garments!51,5085,,AS Colour,Stone Wash Heavy Tee,,Cotton T-shirt/Tank Top,TSHIRT,8.25,6.7,,5085Stone Wash Heavy Teestone wash,true,READY,
Garments!52,GD14,2400,Gildan,Ultra Cotton Long Sleeve T-Shirt,Colours,Long sleeve tees,LONGSLEEVE,5.7,4.64,2,Gildanlong sleeveblackGD142400ULTRAGILDAN ULTRA,true,READY,
Garments!53,GD14,2400,Gildan,Ultra Cotton Long Sleeve T-Shirt,Whites,Long sleeve tees,LONGSLEEVE,4.7,3.71,2,GILDAN ULTRA LONG SLEEVELONG SLEEVEGD14ULTRA2400,true,READY,
Garments!54,GD02,2000,Gildan,Ultra Cotton T-Shirt,Whites,Cotton T-shirt/Tank Top,TSHIRT,2.35,2.11,1.1,gildan ultraGD022000ultra,true,READY,
Garments!55,GD02,2000,Gildan,Ultra Cotton T-Shirt,Colours,Cotton T-shirt/Tank Top,TSHIRT,2.8,2.56,1.1,Gildan UltraUltraGD022000,true,READY,
Garments!56,CV3001,3001,Bella Canvas,Unisex Crew Neck T-Shirt,Colours,Cotton T-shirt/Tank Top,TSHIRT,4.8,3.45,,Bella CanvasteeCV30013001,true,READY,
Garments!57,CV3001,,Bella Canvas,Unisex Crew Neck T-Shirt,Whites,Cotton T-shirt/Tank Top,TSHIRT,4.8,3.45,,Bella Canvasteewhitesize note: 2XL: 54 / 3XL: 7CV0013001cv3001,true,READY,
Garments!58,W101,WM101,Westford Mill,Westford Mill Bag For Life - Long Handles,Colours,Tote bags,OTHER,1.5,1.19,,Westford MilltoteW101,true,READY,Mapped from bag/tote product name.
Garments!59,4062,,AS Colour,Wo's Crop Tee,,Cotton T-shirt/Tank Top,TSHIRT,4.4,3.6,,4062crop tee,true,READY,
Garments!60,4089,,AS Colour,Wo's Heavy Faded Crop Tee,,Cotton T-shirt/Tank Top,TSHIRT,7.6,,,4089faded crop,true,READY,
Garments!61,4064G,,AS Colour,Wo's Organic Rib Crop Tank,,Cotton T-shirt/Tank Top,TSHIRT,7.45,6.15,,crop tankladies tankwomens tank,true,READY,
Garments!62,JH050,,AWDis,Zoodie,,Hoodies,HOODIE,11.8,10.15,1.5,AWDisJH050Zip HoodieZoodie,true,TEMPORARY_FALLBACK,Generic Hoodies fallback pending reliable material data.
